,SMILES1,SMILES2,result
4707,C[Si](C)(C)C1(Cl)CCCCCC1N,Fc1c(F)c(Br)c(F)c(Br)c1F,0
4708,CCC12CCCN3CCc4c(n(c5ccccc45)C(O)(C(=O)OC)C1)C32,Brc1ccc(C(=C(c2ccc(Br)cc2)c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,0
4709,c1c2cc3cc1CCCc1cc(cc(c1)CCC3)CCC2,COc1cc(C)oc(=O)c1,0
4710,O=P12OP3(=O)c4ccccc4NC3(c3cccc4ccccc34)C1(c1cccc3ccccc13)Nc1ccccc12,NC(=O)C(N)c1ccccc1,0
4711,Cc1c(C)c(C)c2c(c1C)-c1c(C)c(C)c(C)c(C)c1-2,Cc1ccc(C(=O)NC(CC(C)C)C(=O)O)cc1,0
4712,C(=Cc1ccncc1)c1ccncc1,CC(=O)c1c(O)cc(O)cc1O,1
4713,CP(=O)(c1ccccc1)c1ccccc1,Fc1c(F)c(Br)c(F)c(F)c1Br,1
4714,Fc1c(F)c(F)c(Br)c(F)c1F,O=C(O)c1cc2ccccc2cc1O,0
4715,CCCCCCCC(=O)O,O=C(O)c1ccccc1[N+](=O)[O-],0
4716,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,BrCCCCBr,0
4717,O=[N+]([O-])c1cccc(C#CI)c1,Cc1ccc2ccccc2c1C,0
4718,Cc1cc2ncn(Cc3cccnc3)c2cc1C,Fc1c(F)c(F)c(I)c(I)c1F,1
4719,COc1nc2ccc(Br)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,O=C(O)C=CC(=O)O,1
4720,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,O=C1CCCN1,1
4721,NC(=[NH2+])NC(=O)c1ccc(C(=O)[O-])[nH]1,O=C(O)c1cc(F)ccc1O,0
4722,O=C(O)C=CC(=O)O,O=C(CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1)c1ccc(F)cc1,1
4723,O=C(O)C=CC(=O)O,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1
4724,C(=Cc1cccc2ccccc12)c1ccncc1,Cn1cc[n+](C)c1,0
4725,NC(=O)c1ccccn1,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1
4726,CC(=O)NC(CCC(=O)O)C(=O)O,c1cc(-c2ccncc2)ccn1,1
4727,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,Cn1cnc2c1c(=O)[nH]c(=O)n2C,0
4728,Nc1ncc(C#CI)cn1,Cc1nc(C)c(C)nc1C,1
4729,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,NC(=O)c1ccccc1N,0
4730,NC(=O)N1c2ccccc2C=Cc2ccccc21,O=C(O)[C@H](O)[C@@H](O)C(=O)O,1
